h 164
18:31:52.377536 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 888988:889152, ack 289, win 313, length 164
18:31:52.378253 IP 198.96.85.21.50272 > comp3134FirstDroplet.ssh: Flags [.], ack 882592, win 136, length 0
18:31:52.378286 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 889152:889316, ack 289, win 313, length 164
18:31:52.378303 IP 198.96.85.21.50272 > comp3134FirstDroplet.ssh: Flags [.], ack 884232, win 130, length 0
18:31:52.378313 IP 198.96.85.21.50272 > comp3134FirstDroplet.ssh: Flags [.], ack 885380, win 126, length 0
18:31:52.378495 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 889316:889808, ack 289, win 313, length 492
18:31:52.378636 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 889808:889972, ack 289, win 313, length 164
18:31:52.378736 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 889972:890136, ack 289, win 313, length 164
18:31:52.378834 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 890136:890300, ack 289, win 313, length 164
18:31:52.378861 IP 198.96.85.21.50272 > comp3134FirstDroplet.ssh: Flags [.], ack 886528, win 121, length 0
18:31:52.378967 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 890300:890576, ack 289, win 313, length 276
18:31:52.379045 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 890576:890740, ack 289, win 313, length 164
18:31:52.379119 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 890740:890904, ack 289, win 313, length 164
18:31:52.379195 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 890904:891068, ack 289, win 313, length 164
18:31:52.379269 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 891068:891232, ack 289, win 313, length 164
18:31:52.379343 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 891232:891396, ack 289, win 313, length 164
18:31:52.379416 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 891396:891560, ack 289, win 313, length 164
18:31:52.379492 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 891560:891724, ack 289, win 313, length 164
18:31:52.379569 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 891724:891888, ack 289, win 313, length 164
18:31:52.379643 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 891888:892052, ack 289, win 313, length 164
18:31:52.379717 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 892052:892216, ack 289, win 313, length 164
18:31:52.379792 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 892216:892380, ack 289, win 313, length 164
18:31:52.379867 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 892380:892544, ack 289, win 313, length 164
18:31:52.379941 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 892544:892708, ack 289, win 313, length 164
18:31:52.380015 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 892708:892872, ack 289, win 313, length 164
18:31:52.380090 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 892872:893036, ack 289, win 313, length 164
18:31:52.380165 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 893036:893200, ack 289, win 313, length 164
18:31:52.380240 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 893200:893364, ack 289, win 313, length 164
18:31:52.380348 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 893364:893528, ack 289, win 313, length 164
18:31:52.380484 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 893528:893692, ack 289, win 313, length 164
18:31:52.380610 IP comp3134FirstDroplet.ssh > 198.96.85.21.50272: Flags [P.], seq 893692:893856, ack 289, win 313, length 164
18:31:52.381563 IP 198.96.85.21.50272 > comp3134FirstDroplet.ssh: Flags [.], ack 888004, win 115, length 0
